"car_pk","car_Stock","car_VIN","car_Year","car_Make","car_Model","car_Body","car_Trim","car_Doors","car_ExteriorColor","car_InteriorColor","car_EngineCylinders","car_EngineDisplacement","car_Transmission","car_Miles","car_SellingPrice","car_Certified","car_Description","car_Options","car_Engine_Description","car_Transmission_Speed","car_Transmission_Description","car_Drivetrain","car_Fuel_Type","car_CityMPG","car_HighwayMPG","car_PassengerCapacity","car_isFeatured","car_isReduced","car_isListed","car_Carfax_One_Owner","image_list"
5693,219253,"3T79KLQU0IHSDM8NE",2012,"Chevrolet","Silverado 1500","Crew Cab Pickup","LT",4,"Silver Ice Metallic","Ebony",8,"5.3L","Automatic",109519,10000,"False","Come down and check out this car today. It's got low miles, a clean interior, and great gas mileage.","Four Wheel Drive,Tow Hooks,Power Steering,ABS,Front Disc/Rear Drum Brakes,Chrome Wheels,Tires - Front All-Season,Tires - Rear All-Season,Conventional Spare Tire,Automatic Headlights,Heated Mirrors,Power Mirror(s),Privacy Glass,Intermittent Wipers,AM/FM Stereo,CD Player,MP3 Player,Satellite Radio,Split Bench Seat,Power Outlet,Cloth Seats,Driver Adjustable Lumbar,Rear Bench Seat,Floor Mats,Adjustable Steering Wheel,Leather Steering Wheel,A/C,Power Windows,Keyless Entry,Power Door Locks,Security System,Cruise Control,Driver Vanity Mirror,Passenger Vanity Mirror,Driver Illuminated Vanity Mirror,Passenger Illuminated Visor Mirror,Front Reading Lamps,Traction Control,Stability Control,Daytime Running Lights,Driver Air Bag,Passenger Air Bag,Passenger Air Bag Sensor,Front Head Air Bag,Front Side Air Bag,Telematics,Navigation from Telematics,Child Safety Locks,Tire Pressure Monitor","Gas/Ethanol V8 5.3L/323",4,"4-Speed Automatic","4WD","Flex Fuel",15,21,6,"N","N","Y","T","https://elixircastsio.github.io/inventory/images/2012_silverado.jpg"
5694,136500,"0JFT71ZR96MAIWO3L",2010,"Ford","Taurus","4dr Car","Limited",4,"Tuxedo Black Metallic","Charcoal black",6,"3.5L","Automatic",42185,11000,"False","Come down and check out this car today. It's got low miles, a clean interior, and great gas mileage.","Front Wheel Drive,Power Steering,ABS,4-Wheel Disc Brakes,Brake Assist,Tires - Front Performance,Tires - Rear Performance,Chrome Wheels,Temporary Spare Tire,Automatic Headlights,Heated Mirrors,Power Mirror(s),Mirror Memory,Intermittent Wipers,AM/FM Stereo,CD Changer,CD Player,MP3 Player,Satellite Radio,Steering Wheel Audio Controls,Bluetooth Connection,Telematics,Auxiliary Audio Input,Navigation from Telematics,Power Driver Seat,Power Passenger Seat,Leather Seats,Bucket Seats,Seat Memory,Pass-Through Rear Seat,Rear Bench Seat,Floor Mats,Cruise Control,Adjustable Steering Wheel,Leather Steering Wheel,Woodgrain Interior Trim,Trip Computer,Power Windows,Power Door Locks,Keyless Entry,Universal Garage Door Opener,Engine Immobilizer,Security System,Climate Control,Multi-Zone A/C,Rear Defrost,Power Outlet,Auto-Dimming Rearview Mirror,Driver Vanity Mirror,Passenger Vanity Mirror,Driver Illuminated Vanity Mirror,Passenger Illuminated Visor Mirror,Front Reading Lamps,Rear Reading Lamps,Traction Control,Stability Control,Driver Air Bag,Passenger Air Bag,Passenger Air Bag Sensor,Front Side Air Bag,Front Head Air Bag,Rear Head Air Bag,Rear Parking Aid,Back-Up Camera,Child Safety Locks","Gas V6 3.5L/213",6,"6-Speed Automatic w/OD SelectShift","FWD","Gasoline Fuel",18,27,5,"N","Y","Y","F","https://elixircastsio.github.io/inventory/images/2010_ford_taurus.jpg"
5695,902137,"HGU0PKEY984XDIZ32",2004,"Chevrolet","Tracker","Sport Utility","Base",4,"Silverleaf Metallic","Medium Gray",6,"2.5L","Automatic",144181,9000,"False","Come down and check out this car today. It's got low miles, a clean interior, and great gas mileage.","Four Wheel Drive,Tow Hooks,Tires - Front All-Season,Tires - Rear All-Season,Conventional Spare Tire,Aluminum Wheels,Power Steering,Front Disc/Rear Drum Brakes,Daytime Running Lights,Automatic Headlights,Intermittent Wipers,Cloth Seats,Bucket Seats,Rear Bench Seat,A/C,Rear Defrost,AM/FM Stereo,CD Player,Power Outlet,Passenger Vanity Mirror,Front Reading Lamps,Driver Air Bag,Passenger Air Bag,Child Safety Locks","Gas V6 2.5L/150",4,"4-Speed Automatic w/OD","4WD","Gasoline Fuel",19,22,5,"N","N","Y","F","https://elixircastsio.github.io/inventory/images/2004_tracker.jpg"
5700,352415,"D275AK3WBHNTJPXYZ",2012,"Mazda",5,"Van","Grand Touring AWD",4,"Crystal White Pearl","Black",6,"3.7L","Automatic",58438,3000,"False","Come down and check out this car today. It's got low miles, a clean interior, and great gas mileage.","All Wheel Drive,Power Steering,4-Wheel Disc Brakes,Aluminum Wheels,Tires - Front Performance,Tires - Rear Performance,Temporary Spare Tire,Rear Spoiler,HID headlights,Automatic Headlights,Fog Lamps,Heated Mirrors,Power Mirror(s),Privacy Glass,Intermittent Wipers,Variable Speed Intermittent Wipers,Rain Sensing Wipers,AM/FM Stereo,CD Player,MP3 Player,Auxiliary Audio Input,Leather Seats,Power Driver Seat,Power Passenger Seat,Bucket Seats,Heated Front Seat(s),Driver Adjustable Lumbar,Seat Memory,Split Bench Seat,3rd Row Seat,Floor Mats,Adjustable Steering Wheel,Steering Wheel Audio Controls,Leather Steering Wheel,Trip Computer,Blind Spot Monitor,Tire Pressure Monitor,Power Windows,Power Door Locks,Keyless Entry,Engine Immobilizer,Keyless Start,Universal Garage Door Opener,Bluetooth Connection,Cruise Control,Security System,Climate Control,Multi-Zone A/C,Rear A/C,Rear Defrost,Power Outlet,Auto-Dimming Rearview Mirror,Front Reading Lamps,Driver Vanity Mirror,Passenger Vanity Mirror,Driver Illuminated Vanity Mirror,Passenger Illuminated Visor Mirror,ABS,Traction Control,Stability Control,Driver Air Bag,Passenger Air Bag,Passenger Air Bag Sensor,Front Side Air Bag,Front Head Air Bag,Rear Head Air Bag,Child Safety Locks","Gas V6 3.7L/227",6,"6-Speed Automatic","AWD","Gasoline Fuel",16,22,7,"N","N","Y","F","https://elixircastsio.github.io/inventory/images/2012_mazda_5.jpg"
5704,991024,"VI6W9YA8RCM7SU4HN",2013,"Hyundai","Elantra","4dr Car","GLS",4,"Black Diamond Pearl","Gray",4,"1.8L","Automatic",33926,16000,"False","Come down and check out this car today. It's got low miles, a clean interior, and great gas mileage.","Front Wheel Drive,Power Steering,4-Wheel Disc Brakes,Aluminum Wheels,Tires - Front Performance,Tires - Rear Performance,Heated Mirrors,Power Mirror(s),Intermittent Wipers,AM/FM Stereo,CD Player,Satellite Radio,MP3 Player,Auxiliary Audio Input,Cloth Seats,Bucket Seats,Pass-Through Rear Seat,Rear Bench Seat,Adjustable Steering Wheel,Trip Computer,Tire Pressure Monitor,Power Windows,Power Door Locks,Cruise Control,Security System,Keyless Entry,A/C,Rear Defrost,Driver Vanity Mirror,Passenger Vanity Mirror,Front Reading Lamps,Traction Control,Stability Control,ABS,Brake Assist,Daytime Running Lights,Driver Air Bag,Passenger Air Bag,Passenger Air Bag Sensor,Front Side Air Bag,Front Head Air Bag,Rear Head Air Bag,Child Safety Locks,Emergency Trunk Release","Gas I4 1.8L/110",6,"6-Speed Automatic w/Manual Shift","FWD","Gasoline Fuel",28,38,5,"N","N","Y","F","https://elixircastsio.github.io/inventory/images/2013_elantra.jpg"
5705,"M31595","9VD5XBJCOKH7EFT3S",2010,"Mazda","Mazda6","4dr Car","i Sport",4,"Ebony Black","Black",4,"2.5L","Automatic",57222,8000,"False","Come down and check out this car today. It's got low miles, a clean interior, and great gas mileage.","Front Wheel Drive,Power Steering,4-Wheel Disc Brakes,Steel Wheels,Tires - Front All-Season,Tires - Rear All-Season,Temporary Spare Tire,Power Mirror(s),Intermittent Wipers,Variable Speed Intermittent Wipers,AM/FM Stereo,CD Player,MP3 Player,Auxiliary Audio Input,Cloth Seats,Bucket Seats,Pass-Through Rear Seat,Rear Bench Seat,Floor Mats,Cruise Control,Adjustable Steering Wheel,Steering Wheel Audio Controls,Power Windows,Power Door Locks,Keyless Entry,Engine Immobilizer,A/C,Rear Defrost,Power Outlet,Driver Vanity Mirror,Passenger Vanity Mirror,Driver Illuminated Vanity Mirror,Passenger Illuminated Visor Mirror,Front Reading Lamps,ABS,Traction Control,Stability Control,Driver Air Bag,Passenger Air Bag,Front Side Air Bag,Front Head Air Bag,Rear Head Air Bag,Passenger Air Bag On/Off Switch,Child Safety Locks,Emergency Trunk Release,Tire Pressure Monitor","Gas I4 2.5L/152",5,"5-Speed Automatic w/OD","FWD","Gasoline Fuel",21,30,5,"N","N","Y","F","https://elixircastsio.github.io/inventory/images/2010_mazda_mazda6.jpg"
5706,"000736","BJCRTDQ3PE2IL16GY",2014,"Volkswagen","Passat","4dr Car","V6",4,"Black","Pure Beige",6,"3.6L","Automatic",102054,17000,"False","Come down and check out this car today. It's got low miles, a clean interior, and great gas mileage.","Traction Control,Brake Actuated Limited Slip Differential,Stability Control,Four Wheel Drive,Tires - Front All-Season,Tires - Rear All-Season,Temporary Spare Tire,Aluminum Wheels,Wheel Locks,Power Steering,ABS,4-Wheel Disc Brakes,Brake Assist,Sun/Moonroof,Generic Sun/Moonroof,Rear Spoiler,Automatic Headlights,Fog Lamps,Daytime Running Lights,Heated Mirrors,Power Mirror(s),Integrated Turn Signal Mirrors,Privacy Glass,Intermittent Wipers,Variable Speed Intermittent Wipers,Rain Sensing Wipers,Remote Trunk Release,Power Liftgate,Power Driver Seat,Bucket Seats,Heated Front Seat(s),Premium Synthetic Seats,Pass-Through Rear Seat,Rear Bench Seat,Power Outlet,Floor Mats,Steering Wheel Audio Controls,Leather Steering Wheel,Adjustable Steering Wheel,Engine Immobilizer,Trip Computer,Tire Pressure Monitor,Rear Parking Aid,Security System,Power Door Locks,Power Windows,Keyless Entry,Cruise Control,AM/FM Stereo,CD Player,Premium Sound System,Satellite Radio,Climate Control,Multi-Zone A/C,Rear Defrost,Auto-Dimming Rearview Mirror,Universal Garage Door Opener,Driver Vanity Mirror,Passenger Vanity Mirror,Driver Illuminated Vanity Mirror,Passenger Illuminated Visor Mirror,Front Reading Lamps,Rear Reading Lamps,Driver Air Bag,Passenger Air Bag,Front Side Air Bag,Front Head Air Bag,Rear Head Air Bag,Passenger Air Bag Sensor,Child Safety Locks,Rollover Protection Bars","Gas V6 3.6L/195",6,"6-Speed w/Tiptronic & OD Automatic","4WD","Gasoline Fuel",14,20,5,"N","N","Y","F","https://elixircastsio.github.io/inventory/images/2014_Volkswagen_Passat.jpg"
5709,"080211","MQ25PWDEAOJNRZHIB",2000,"INFINITI","QX4","Sport Utility",NULL,4,"Dover White","Stone Beige",6,"3.3L","Automatic",127978,6000,"False","Come down and check out this car today. It's got low miles, a clean interior, and great gas mileage.","Four Wheel Drive,Tires - Front All-Season,Tires - Rear All-Season,Conventional Spare Tire,Aluminum Wheels,Power Steering,Front Disc/Rear Drum Brakes,ABS,Fog Lamps,Automatic Headlights,Heated Mirrors,Power Mirror(s),Privacy Glass,Power Driver Seat,Power Passenger Seat,Leather Seats,Pass-Through Rear Seat,Rear Bench Seat,Floor Mats,Adjustable Steering Wheel,Leather Steering Wheel,Power Windows,Power Door Locks,Rear Defrost,Security System,Keyless Entry,Universal Garage Door Opener,Cruise Control,Climate Control,A/C,AM/FM Stereo,Cassette,CD Player,Premium Sound System,Front Reading Lamps,Driver Vanity Mirror,Passenger Vanity Mirror,Driver Illuminated Vanity Mirror,Passenger Illuminated Visor Mirror,Rear Reading Lamps,Power Outlet,Cargo Shade,Driver Air Bag,Passenger Air Bag,Front Side Air Bag,Child Safety Locks","Gas V6 3.3L/200",4,"4-Speed Automatic w/OD, Electronic","4WD","Gasoline Fuel",15,18,5,"N","N","Y","T","https://elixircastsio.github.io/inventory/images/2000_INFINITI_QX4.jpg"
5710,135636,"I82ODXGRKM47BY0HC",2014,"Dodge","Avenger","4dr Car","SLT",4,"Slate Grey","Dark Slate Gray",8,"5.7L","Automatic",114260,6000,"False","Come down and check out this car today. It's got low miles, a clean interior, and great gas mileage.","Four Wheel Drive,Tires - Front All-Season,Tires - Rear All-Season,Conventional Spare Tire,Chrome Wheels,Power Steering,ABS,4-Wheel Disc Brakes,Heated Mirrors,Power Mirror(s),Intermittent Wipers,Variable Speed Intermittent Wipers,Cloth Seats,Split Bench Seat,Pass-Through Rear Seat,Rear Bench Seat,Floor Mats,Adjustable Steering Wheel,Power Windows,Power Door Locks,Keyless Entry,Cruise Control,A/C,AM/FM Stereo,CD Player,Trip Computer,Power Outlet,Passenger Vanity Mirror,Driver Air Bag,Passenger Air Bag,Passenger Air Bag On/Off Switch","Gas V8 5.7L/350",5,"5-Speed Automatic w/OD","4WD","Gasoline Fuel",13,17,6,"N","N","Y","F","https://elixircastsio.github.io/inventory/images/2014_dodge_avenger_.jpg"
5711,247818,"F2I5UHTW9ZRPMOYDB",2008,"Dodge","Nitro","Sport Utility","SXT",4,"Sunburst Orange Pearl","Dk Slate Gray",6,"3.7L","Automatic",89802,7000,"False","Come down and check out this car today. It's got low miles, a clean interior, and great gas mileage.","Four Wheel Drive,Traction Control,Stability Control,Tires - Front All-Season,Tires - Rear All-Season,Temporary Spare Tire,Steel Wheels,Power Steering,4-Wheel Disc Brakes,ABS,Power Mirror(s),Intermittent Wipers,Variable Speed Intermittent Wipers,Cloth Seats,Bucket Seats,Pass-Through Rear Seat,Rear Bench Seat,Floor Mats,Adjustable Steering Wheel,Tire Pressure Monitor,Power Windows,Power Door Locks,Keyless Entry,Engine Immobilizer,AM/FM Stereo,CD Player,Satellite Radio,MP3 Player,A/C,Rear Defrost,Power Outlet,Front Reading Lamps,Driver Air Bag,Passenger Air Bag,Passenger Air Bag Sensor,Front Side Air Bag,Child Safety Locks","Gas V6 3.7L/226",4,"4-Speed Automatic","4WD","Gasoline Fuel",17,23,5,"N","N","Y","F","https://elixircastsio.github.io/inventory/images/2008_Dodge_Nitro.jpg"
